n,p0,phi0,delta,ARL0,ARL1,desv,grafico
200,0.05,0.9,1.7,367.4,21.3,-0.942025040827436,CUSUM
200,0.05,0.9,2,367.4,13.8,-0.9624387588459444,CUSUM
200,0.01,0.8,1.1,408.6054699634782,258.0408626964401,-0.368484071641272,CEWMA
200,0.01,0.8,1.2,408.6054699634782,176.47315652727335,-0.568108678175437,CEWMA
200,0.01,0.8,1.3,414.61201406618386,127.12761212645768,-0.693381745310051,CEWMA
200,0.01,0.8,1.5,414.61201406618386,74.04064335225603,-0.821421857446617,CEWMA
200,0.01,0.8,1.7,414.61201406618386,49.005389599919205,-0.881804221929525,CEWMA
200,0.01,0.8,2,414.61201406618386,31.00172959769975,-0.925227131520721,CEWMA
200,0.01,0.8,1.1,370.4,225.3,-0.3917386609071274,CUSUM
200,0.01,0.8,1.2,370.4,151.2,-0.591792656587473,CUSUM
200,0.01,0.8,1.3,370.4,109.2,-0.7051835853131749,CUSUM
200,0.01,0.8,1.5,370.4,65.9,-0.8220842332613392,CUSUM
200,0.01,0.8,1.7,370.4,44.6,-0.8795896328293736,CUSUM
200,0.01,0.8,2,370.4,29.1,-0.9214362850971921,CUSUM
200,0.02,0.8,1.1,374.9595038227313,221.0472922458445,-0.410476891524935,CEWMA
200,0.02,0.8,1.2,400.2819718995448,138.1993228347531,-0.654745073381831,CEWMA
200,0.02,0.8,1.3,400.2819718995448,92.71962736574842,-0.768364218538881,CEWMA
200,0.02,0.8,1.5,454.15731898780484,49.38660675621135,-0.891256609347877,CEWMA
200,0.02,0.8,1.7,454.15731898780723,29.694305344844025,-0.934616697555321,CEWMA
200,0.02,0.8,2,454.15731898780484,17.268212589043237,-0.961977464928828,CEWMA
200,0.02,0.8,1.1,370.3,207.9,-0.43856332703213613,CUSUM
200,0.02,0.8,1.2,370.3,130.7,-0.6470429381582501,CUSUM
200,0.02,0.8,1.3,370.3,89.6,-0.7580340264650285,CUSUM
200,0.02,0.8,1.5,370.3,50.6,-0.8633540372670807,CUSUM
200,0.02,0.8,1.7,370.3,33.6,-0.9092627599243855,CUSUM
200,0.02,0.8,2,370.3,21.9,-0.9408587631650014,CUSUM
200,0.05,0.8,1.1,386.36482874914924,167.5787596824992,-0.566268078217592,CEWMA
200,0.05,0.8,1.2,386.36482874914924,85.30619461269872,-0.779208177698585,CEWMA
200,0.05,0.8,1.3,386.36482874914924,49.36857294515259,-0.872222911425497,CEWMA
200,0.05,0.8,1.5,386.36482874914924,21.995004447977443,-0.943071928883418,CEWMA
200,0.05,0.8,1.7,386.36482874914924,12.746986477348704,-0.967007901525051,CEWMA
200,0.05,0.8,2,386.36482874914924,7.680218659829524,-0.980121848345528,CEWMA
200,0.05,0.8,1.1,374.2,161.0,-0.569748797434527,CUSUM
200,0.05,0.8,1.2,374.2,84.5,-0.7741849278460716,CUSUM
200,0.05,0.8,1.3,374.2,51.2,-0.863174772848744,CUSUM
200,0.05,0.8,1.5,374.2,24.7,-0.9339925173703902,CUSUM
200,0.05,0.8,1.7,374.2,14.8,-0.96044895777659,CUSUM
200,0.05,0.8,2,374.2,8.7,-0.9767504008551577,CUSUM
200,0.01,0.7,1.1,459.0770811153798,268.7604345562205,-0.414563598114642,CEWMA
200,0.01,0.7,1.2,459.0770811153799,171.1962701755961,-0.627086000983418,CEWMA
200,0.01,0.7,1.3,459.0770811153799,116.86002571071602,-0.745445742081501,CEWMA
200,0.01,0.7,1.5,459.0770811153799,63.92432793450687,-0.860754695531313,CEWMA
200,0.01,0.7,1.7,449.91285047407473,40.390938412365536,-0.910224972747932,CEWMA
200,0.01,0.7,2,449.91285047407473,23.253847366492817,-0.948314773979026,CEWMA
200,0.01,0.7,1.1,370.4,205.8,-0.4443844492440604,CUSUM
200,0.01,0.7,1.2,370.4,129.7,-0.6498380129589633,CUSUM
200,0.01,0.7,1.3,370.4,89.8,-0.7575593952483801,CUSUM
200,0.01,0.7,1.5,370.4,52.0,-0.8596112311015118,CUSUM
200,0.01,0.7,1.7,370.4,34.3,-0.9073974082073434,CUSUM
200,0.01,0.7,2,370.4,22.0,-0.9406047516198704,CUSUM
200,0.02,0.7,1.1,373.0863168647427,190.15801068597375,-0.490310949262411,CEWMA
200,0.02,0.7,1.2,383.21046080432484,115.25170533871227,-0.699246974895181,CEWMA
200,0.02,0.7,1.3,383.21046080432484,74.63139319339356,-0.805246983506794,CEWMA
200,0.02,0.7,1.5,383.21046080432484,38.881617097120376,-0.898537171935465,CEWMA
200,0.02,0.7,1.7,481.16862108491404,23.499561662507485,-0.951161483453509,CEWMA
200,0.02,0.7,2,481.16862108491404,12.900899943402838,-0.973188401366833,CEWMA
200,0.02,0.7,1.1,370.4,188.5,-0.49109071274298055,CUSUM
200,0.02,0.7,1.2,370.4,110.7,-0.701133909287257,CUSUM
200,0.02,0.7,1.3,370.4,72.4,-0.8045356371490281,CUSUM
200,0.02,0.7,1.5,370.4,38.5,-0.8960583153347732,CUSUM
200,0.02,0.7,1.7,370.4,24.8,-0.9330453563714902,CUSUM
200,0.02,0.7,2,370.4,15.6,-0.9578833693304535,CUSUM
200,0.05,0.7,1.1,370.6455794209146,151.46715944345948,-0.591342328485052,CEWMA
200,0.05,0.7,1.2,376.04222393243913,72.62619874368126,-0.80686690450823,CEWMA
200,0.05,0.7,1.3,376.04222393243913,39.656375396342895,-0.894542759103914,CEWMA
200,0.05,0.7,1.5,376.04222393243913,16.159559650890564,-0.957027273475029,CEWMA
200,0.05,0.7,1.7,376.04222393243913,8.87634053524349,-0.976395362088811,CEWMA
200,0.05,0.7,2,376.04222393243913,5.1695698546197235,-0.986252687795111,CEWMA
200,0.05,0.7,1.1,371.9,137.3,-0.6308147351438558,CUSUM
200,0.05,0.7,1.2,371.9,64.3,-0.8271040602312449,CUSUM
200,0.05,0.7,1.3,371.9,36.0,-0.9031997848884109,CUSUM
200,0.05,0.7,1.5,371.9,16.2,-0.9564399031997849,CUSUM
200,0.05,0.7,1.7,371.9,9.6,-0.9741866093035761,CUSUM
200,0.05,0.7,2,371.9,5.7,-0.9846732992739984,CUSUM
500,0.01,0.9,1.1,385.00496520717576,236.32285096286216,-0.386182329270236,CEWMA
500,0.01,0.9,1.2,418.71812594961693,155.53125874775432,-0.628553795241076,CEWMA
500,0.01,0.9,1.3,418.71812594961693,106.74996517697524,-0.745055304365256,CEWMA
500,0.01,0.9,1.5,418.71812594961693,59.350294973508205,-0.858257163243394,CEWMA
500,0.01,0.9,1.7,418.71812594961693,38.62111877388136,-0.907763441846965,CEWMA
